Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,TrackTemp,AirTemp,Fuel_Weight_kg,LapTime_s,Fuel_Corrected_LapTime,Compound_C_Rating,Race,Country,Circuit,Stint_ID,traction,asphalt_grip,asphalt_abrasion,track_evolution,tyre_stress,braking,lateral,downforce,Degradation_Delta,Stint_Length,Tyre_Thermal_Stress,Pressure_Deviation_Index,Slip_Energy_Index,Lateral_Load_Index,Brake_Thermal_Index,Aero_Load_Index,Latent_Degradation_Mean,Latent_Degradation_Std,Prior_Degradation_Mean,Prior_Degradation_Std,Latent_Degradation_Rate
0 days 00:57:42.668000,NOR,4,0 days 00:01:35.761000,1.0,1.0,,,,0 days 00:00:42.210000,0 days 00:00:18.262000,,0 days 00:57:24.611000,0 days 00:57:42.767000,281.0,296.0,262.0,291.0,False,MEDIUM,1.0,True,McLaren,0 days 00:56:06.651000,,1,2.0,,,False,False,21.0,14.3,110.0,95.761,92.857,2.0,Japanese Grand Prix,Japan,Suzuka,2025_Japanese Grand Prix_NOR_1.0,3.0,4.0,4.0,3.0,5.0,2.0,5.0,4.0,1.8624150943396245,20,1.8099999999999998,1.4428571428571428,1.3,2.2222222222222223,0.6666666666666666,1.3333333333333333,0.2815122730614629,0.15237425254082615,0.0,0.1825547152146416,0.0389049767784674
0 days 00:59:16.615000,NOR,4,0 days 00:01:33.947000,2.0,1.0,,,0 days 00:00:33.809000,0 days 00:00:42.049000,0 days 00:00:18.089000,0 days 00:58:16.522000,0 days 00:58:58.571000,0 days 00:59:16.660000,281.0,298.0,266.0,295.0,True,MEDIUM,2.0,True,McLaren,0 days 00:57:42.668000,,1,2.0,,,False,True,20.8,14.2,107.9245283018868,93.947,91.09779245283019,2.0,Japanese Grand Prix,Japan,Suzuka,2025_Japanese Grand Prix_NOR_1.0,3.0,4.0,4.0,3.0,5.0,2.0,5.0,4.0,0.1032075471698164,20,1.8199999999999998,1.45,1.3,2.2222222222222223,0.6666666666666666,1.3333333333333333,0.26087598986339205,0.14485541701313984,0.3204172498399303,0.1700207635533911,0.029094555192076044
0 days 01:00:50.404000,NOR,4,0 days 00:01:33.789000,3.0,1.0,,,0 days 00:00:33.515000,0 days 00:00:42.096000,0 days 00:00:18.178000,0 days 00:59:50.175000,0 days 01:00:32.271000,0 days 01:00:50.449000,282.0,298.0,263.0,293.0,True,MEDIUM,3.0,True,McLaren,0 days 00:59:16.615000,,1,2.0,,,False,True,20.9,14.2,105.84905660377359,93.789,90.99458490566037,2.0,Japanese Grand Prix,Japan,Suzuka,2025_Japanese Grand Prix_NOR_1.0,3.0,4.0,4.0,3.0,5.0,2.0,5.0,4.0,0.0,20,1.815,1.4464285714285714,1.3,2.2222222222222223,0.6666666666666666,1.3333333333333333,0.201598756848283,0.15273733899323455,0.2899705450554681,0.18318007715090032,0.007529461175116523
0 days 01:02:24.242000,NOR,4,0 days 00:01:33.838000,4.0,1.0,,,0 days 00:00:33.576000,0 days 00:00:42.123000,0 days 00:00:18.139000,0 days 01:01:24.025000,0 days 01:02:06.148000,0 days 01:02:24.287000,278.0,298.0,264.0,298.0,False,MEDIUM,4.0,True,McLaren,0 days 01:00:50.404000,,1,2.0,,,False,True,20.9,14.3,103.77358490566037,93.838,91.09837735849057,2.0,Japanese Grand Prix,Japan,Suzuka,2025_Japanese Grand Prix_NOR_1.0,3.0,4.0,4.0,3.0,5.0,2.0,5.0,4.0,0.10379245283019145,20,1.815,1.4464285714285714,1.3,2.2222222222222223,0.6666666666666666,1.3333333333333333,0.17300834576413165,0.16201324346245408,0.2091282180233995,0.19986443988437078,0.0
0 days 01:03:58.189000,NOR,4,0 days 00:01:33.947000,5.0,1.0,,,0 days 00:00:33.620000,0 days 00:00:42.142000,0 days 00:00:18.185000,0 days 01:02:57.907000,0 days 01:03:40.049000,0 days 01:03:58.234000,278.0,299.0,263.0,295.0,False,MEDIUM,5.0,True,McLaren,0 days 01:02:24.242000,,1,2.0,,,False,True,20.6,14.2,101.69811320754717,93.947,91.26216981132076,2.0,Japanese Grand Prix,Japan,Suzuka,2025_Japanese Grand Prix_NOR_1.0,3.0,4.0,4.0,3.0,5.0,2.0,5.0,4.0,0.2675849056603852,20,1.8299999999999998,1.457142857142857,1.3,2.2222222222222223,0.6666666666666666,1.3333333333333333,0.2075011348280369,0.16708510683079725,0.17300834576413165,0.20962877994253104,0.008006217402750015
0 days 01:05:32.125000,NOR,4,0 days 00:01:33.936000,6.0,1.0,,,0 days 00:00:33.573000,0 days 00:00:42.304000,0 days 00:00:18.059000,0 days 01:04:31.807000,0 days 01:05:14.111000,0 days 01:05:32.170000,280.0,298.0,263.0,298.0,False,MEDIUM,6.0,True,McLaren,0 days 01:03:58.189000,,1,2.0,,,False,True,20.6,14.3,99.62264150943396,93.936,91.30596226415095,2.0,Japanese Grand Prix,Japan,Suzuka,2025_Japanese Grand Prix_NOR_1.0,3.0,4.0,4.0,3.0,5.0,2.0,5.0,4.0,0.31137735849057435,20,1.8299999999999998,1.457142857142857,1.3,2.2222222222222223,0.6666666666666666,1.3333333333333333,0.2508783047536661,0.168053414445016,0.2155073522307869,0.21155068096355542,0.015459223167164976
0 days 01:07:05.945000,NOR,4,0 days 00:01:33.820000,7.0,1.0,,,0 days 00:00:33.467000,0 days 00:00:42.271000,0 days 00:00:18.082000,0 days 01:06:05.637000,0 days 01:06:47.908000,0 days 01:07:05.990000,279.0,297.0,263.0,298.0,False,MEDIUM,7.0,True,McLaren,0 days 01:05:32.125000,,1,2.0,,,False,True,20.6,14.3,97.54716981132076,93.82,91.24475471698112,2.0,Japanese Grand Prix,Japan,Suzuka,2025_Japanese Grand Prix_NOR_1.0,3.0,4.0,4.0,3.0,5.0,2.0,5.0,4.0,0.25016981132074534,20,1.8299999999999998,1.457142857142857,1.3,2.2222222222222223,0.6666666666666666,1.3333333333333333,0.26048162176986395,0.16650912972218193,0.2663375279208311,0.20849465906003606,0.01433424942723174
0 days 01:08:39.533000,NOR,4,0 days 00:01:33.588000,8.0,1.0,,,0 days 00:00:33.149000,0 days 00:00:42.371000,0 days 00:00:18.068000,0 days 01:07:39.139000,0 days 01:08:21.510000,0 days 01:08:39.578000,282.0,297.0,263.0,298.0,True,MEDIUM,8.0,True,McLaren,0 days 01:07:05.945000,,1,2.0,,,False,True,20.6,14.3,95.47169811320755,93.588,91.06754716981132,2.0,Japanese Grand Prix,Japan,Suzuka,2025_Japanese Grand Prix_NOR_1.0,3.0,4.0,4.0,3.0,5.0,2.0,5.0,4.0,0.07296226415094509,20,1.8299999999999998,1.457142857142857,1.3,2.2222222222222223,0.6666666666666666,1.3333333333333333,0.2040686013131675,0.16379548499102084,0.27481587119709566,0.20323960463755789,0.0017823243896694114
0 days 01:10:13.045000,NOR,4,0 days 00:01:33.512000,9.0,1.0,,,0 days 00:00:33.093000,0 days 00:00:42.303000,0 days 00:00:18.116000,0 days 01:09:12.671000,0 days 01:09:54.974000,0 days 01:10:13.090000,280.0,298.0,263.0,298.0,True,MEDIUM,9.0,True,McLaren,0 days 01:08:39.533000,,1,2.0,,,False,True,20.7,14.3,93.39622641509433,93.512,91.04633962264151,2.0,Japanese Grand Prix,Japan,Suzuka,2025_Japanese Grand Prix_NOR_1.0,3.0,4.0,4.0,3.0,5.0,2.0,5.0,4.0,0.05175471698113654,20,1.825,1.4535714285714285,1.3,2.2222222222222223,0.6666666666666666,1.3333333333333333,0.15383550885651154,0.1607442348191712,0.20585092570283692,0.19749648355137842,0.0
0 days 01:11:46.693000,NOR,4,0 days 00:01:33.648000,10.0,1.0,,,0 days 00:00:33.011000,0 days 00:00:42.462000,0 days 00:00:18.175000,0 days 01:10:46.101000,0 days 01:11:28.563000,0 days 01:11:46.738000,280.0,298.0,262.0,299.0,False,MEDIUM,10.0,True,McLaren,0 days 01:10:13.045000,,1,2.0,,,False,True,20.6,14.3,91.32075471698113,93.648,91.23713207547169,2.0,Japanese Grand Prix,Japan,Suzuka,2025_Japanese Grand Prix_NOR_1.0,3.0,4.0,4.0,3.0,5.0,2.0,5.0,4.0,0.24254716981131708,20,1.8299999999999998,1.457142857142857,1.3,2.2222222222222223,0.6666666666666666,1.3333333333333333,0.1826960296324444,0.15780729200821444,0.15383550885651154,0.19212381797474845,0.0045720878331896525
